Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,10.5,10.5,10.5,10.5,10.5,0
2020-01-03,9.5,20.0,9.5,17.0,17.0,600
2020-01-06,20.0,20.0,20.0,20.0,20.0,100
2020-01-07,20.5,21.0,20.5,21.0,21.0,100
2020-01-08,21.0,21.5,19.0,21.5,21.5,200
2020-01-09,21.5,21.5,19.5,19.5,19.5,300
2020-01-10,22.0,22.0,16.5,16.5,16.5,100
2020-01-13,20.0,21.5,19.5,19.5,19.5,300
2020-01-14,21.0,21.0,16.5,16.5,16.5,100
2020-01-15,20.0,20.5,20.0,20.5,20.5,300
2020-01-16,19.0,19.0,18.0,18.0,18.0,300
2020-01-17,18.0,18.0,18.0,18.0,18.0,400
2020-01-21,11.5,16.5,11.5,16.5,16.5,100
2020-01-22,13.0,20.0,13.0,20.0,20.0,300
2020-01-23,19.5,22.5,15.0,15.0,15.0,800
2020-01-24,19.5,22.0,19.0,19.0,19.0,500
2020-01-27,21.5,21.5,18.5,20.0,20.0,100
2020-01-28,18.5,21.5,15.5,21.0,21.0,200
2020-01-29,22.0,22.5,20.0,20.0,20.0,300
2020-01-30,16.0,22.0,16.0,20.5,20.5,100
2020-01-31,22.0,24.0,19.0,19.0,19.0,800
2020-02-03,19.0,19.0,19.0,19.0,19.0,0
2020-02-04,22.0,22.0,20.0,20.0,20.0,100
2020-02-05,20.0,20.0,20.0,20.0,20.0,100
2020-02-06,20.0,20.0,20.0,20.0,20.0,0
2020-02-07,20.0,20.0,20.0,20.0,20.0,0
2020-02-10,20.0,21.5,16.0,20.0,20.0,700
2020-02-11,20.5,21.5,20.5,21.5,21.5,300
2020-02-12,21.5,21.5,21.5,21.5,21.5,0
2020-02-13,21.0,21.0,21.0,21.0,21.0,0
2020-02-14,21.5,21.5,21.5,21.5,21.5,200
2020-02-18,21.5,21.5,21.5,21.5,21.5,0
2020-02-19,21.5,21.5,21.5,21.5,21.5,0
2020-02-20,21.5,21.5,21.5,21.5,21.5,0
2020-02-21,18.0,20.0,17.5,17.5,17.5,200
2020-02-24,20.0,20.0,19.0,19.0,19.0,100
2020-02-25,21.5,21.5,19.0,19.0,19.0,200
2020-02-26,21.5,21.5,19.5,19.5,19.5,200
2020-02-27,21.0,21.0,21.0,21.0,21.0,300
2020-02-28,21.0,21.0,18.0,20.5,20.5,300
2020-03-02,20.5,21.0,16.0,21.0,21.0,100
2020-03-03,21.0,21.0,21.0,21.0,21.0,0
2020-03-04,17.5,18.0,17.5,18.0,18.0,0
2020-03-05,21.0,21.0,21.0,21.0,21.0,0
2020-03-06,18.0,21.0,18.0,21.0,21.0,0
2020-03-09,21.0,21.0,21.0,21.0,21.0,0
2020-03-10,21.0,21.0,18.0,18.0,18.0,0
2020-03-11,20.0,20.0,18.0,20.0,20.0,100
2020-03-12,20.0,20.0,20.0,20.0,20.0,0
2020-03-13,17.0,17.0,17.0,17.0,17.0,0
2020-03-16,20.0,20.0,20.0,20.0,20.0,0
2020-03-17,20.0,20.0,20.0,20.0,20.0,0
2020-03-18,17.0,17.0,17.0,17.0,17.0,0
2020-03-19,20.0,20.0,17.0,17.5,17.5,100
2020-03-20,20.0,20.0,20.0,20.0,20.0,0
2020-03-23,22.0,22.0,22.0,22.0,22.0,0
2020-03-24,22.0,22.0,22.0,22.0,22.0,0
2020-03-25,17.0,17.0,15.5,15.5,15.5,200
2020-03-26,19.5,21.0,13.5,17.0,17.0,600
2020-03-27,19.0,19.0,19.0,19.0,19.0,100
2020-03-30,21.0,21.0,15.0,20.0,20.0,100
2020-03-31,18.5,18.5,18.5,18.5,18.5,100
2020-04-01,13.0,19.0,13.0,19.0,19.0,0
2020-04-02,19.0,19.0,19.0,19.0,19.0,0
2020-04-03,15.5,15.5,13.5,13.5,13.5,0
2020-04-06,17.5,17.5,13.5,13.5,13.5,100
2020-04-07,17.0,17.0,17.0,17.0,17.0,0
2020-04-08,17.0,17.0,17.0,17.0,17.0,0
2020-04-09,17.0,17.0,17.0,17.0,17.0,0
2020-04-13,17.0,17.0,13.5,17.0,17.0,100
2020-04-14,17.0,17.0,17.0,17.0,17.0,0
2020-04-15,17.0,17.0,15.0,15.0,15.0,2400
2020-04-16,17.0,17.0,14.0,14.0,14.0,3300
2020-04-17,18.5,18.5,18.5,18.5,18.5,2000
2020-04-20,18.5,18.5,18.5,18.5,18.5,0
2020-04-21,18.5,18.5,18.5,18.5,18.5,0
2020-04-22,19.0,19.0,14.0,16.0,16.0,7800
2020-04-23,19.5,19.5,14.0,19.0,19.0,3000
2020-04-24,19.0,19.0,19.0,19.0,19.0,0
2020-04-27,19.0,19.0,19.0,19.0,19.0,0
2020-04-28,19.0,19.0,19.0,19.0,19.0,1500
2020-04-29,19.0,19.0,19.0,19.0,19.0,1000
2020-04-30,17.5,17.5,14.0,14.0,14.0,5500
2020-05-01,19.0,19.0,19.0,19.0,19.0,6000
2020-05-04,19.0,19.0,19.0,19.0,19.0,2000
2020-05-05,19.0,19.0,19.0,19.0,19.0,0
2020-05-06,19.0,19.0,19.0,19.0,19.0,0
2020-05-07,19.0,19.0,19.0,19.0,19.0,2000
2020-05-08,19.0,19.0,19.0,19.0,19.0,500
2020-05-11,19.0,19.0,19.0,19.0,19.0,0
2020-05-12,19.0,19.0,19.0,19.0,19.0,0
2020-05-13,19.0,19.0,19.0,19.0,19.0,0
2020-05-14,14.0,19.0,14.0,18.0,18.0,100
